TIMESTAMP: 5.100000, X: 5.064954, Y: 15.600854, Z: -9.302569, PITCH: 0.245769, YAW: -1.848877
TIMESTAMP: 5.200000, X: 5.083814, Y: 15.531343, Z: -9.253662, PITCH: 0.248193, YAW: -1.865805
TIMESTAMP: 5.300000, X: 5.094029, Y: 15.462702, Z: -9.206869, PITCH: 0.250773, YAW: -1.882738
TIMESTAMP: 5.400000, X: 5.095310, Y: 15.395016, Z: -9.162322, PITCH: 0.252694, YAW: -1.899646
TIMESTAMP: 5.500000, X: 5.087411, Y: 15.328359, Z: -9.120141, PITCH: 0.254279, YAW: -1.916542
TIMESTAMP: 5.600000, X: 5.070131, Y: 15.262789, Z: -9.080430, PITCH: 0.257196, YAW: -1.933488
TIMESTAMP: 5.700000, X: 5.043318, Y: 15.198353, Z: -9.043276, PITCH: 0.261253, YAW: -1.950478
TIMESTAMP: 5.800000, X: 5.006864, Y: 15.135081, Z: -9.008753, PITCH: 0.262805, YAW: -1.967372
TIMESTAMP: 5.900000, X: 4.960713, Y: 15.072992, Z: -8.976915, PITCH: 0.258736, YAW: -1.984053
TIMESTAMP: 6.000000, X: 4.904857, Y: 15.012090, Z: -8.947801, PITCH: 0.250644, YAW: -2.000582
TIMESTAMP: 6.100000, X: 4.839336, Y: 14.952367, Z: -8.921434, PITCH: 0.242614, YAW: -2.017114
TIMESTAMP: 6.200000, X: 4.764240, Y: 14.893801, Z: -8.897820, PITCH: 0.236086, YAW: -2.033701
TIMESTAMP: 6.300000, X: 4.679708, Y: 14.836361, Z: -8.876949, PITCH: 0.229639, YAW: -2.050291
TIMESTAMP: 6.400000, X: 4.585923, Y: 14.780004, Z: -8.858795, PITCH: 0.222454, YAW: -2.066855
TIMESTAMP: 6.500000, X: 4.483118, Y: 14.724678, Z: -8.843316, PITCH: 0.215213, YAW: -2.083418
TIMESTAMP: 6.600000, X: 4.371565, Y: 14.670325, Z: -8.830457, PITCH: 0.208360, YAW: -2.099993
