TIMESTAMP: 5.100000, X: 5.152638, Y: 7.388755, Z: -1.533253, PITCH: 0.318623, YAW: 0.889183
TIMESTAMP: 5.200000, X: 5.263490, Y: 7.548884, Z: -1.582921, PITCH: 0.324846, YAW: 0.906525
TIMESTAMP: 5.300000, X: 5.373531, Y: 7.707723, Z: -1.635966, PITCH: 0.331065, YAW: 0.923935
TIMESTAMP: 5.400000, X: 5.482608, Y: 7.865010, Z: -1.692543, PITCH: 0.337265, YAW: 0.941287
TIMESTAMP: 5.500000, X: 5.590579, Y: 8.020495, Z: -1.752798, PITCH: 0.343524, YAW: 0.958650
TIMESTAMP: 5.600000, X: 5.697311, Y: 8.173942, Z: -1.816862, PITCH: 0.349788, YAW: 0.976039
TIMESTAMP: 5.700000, X: 5.802686, Y: 8.325127, Z: -1.884851, PITCH: 0.355915, YAW: 0.993335
TIMESTAMP: 5.800000, X: 5.906593, Y: 8.473838, Z: -1.956864, PITCH: 0.362049, YAW: 1.010625
TIMESTAMP: 5.900000, X: 6.008935, Y: 8.619877, Z: -2.032979, PITCH: 0.368454, YAW: 1.028129
TIMESTAMP: 6.000000, X: 6.109624, Y: 8.763059, Z: -2.113253, PITCH: 0.374834, YAW: 1.045620
TIMESTAMP: 6.100000, X: 6.208583, Y: 8.903210, Z: -2.197720, PITCH: 0.380707, YAW: 1.062693
TIMESTAMP: 6.200000, X: 6.305748, Y: 9.040169, Z: -2.286386, PITCH: 0.386636, YAW: 1.079809
TIMESTAMP: 6.300000, X: 6.401063, Y: 9.173790, Z: -2.379234, PITCH: 0.393475, YAW: 1.097682
TIMESTAMP: 6.400000, X: 6.494481, Y: 9.303936, Z: -2.476218, PITCH: 0.399864, YAW: 1.115182
TIMESTAMP: 6.500000, X: 6.585966, Y: 9.430482, Z: -2.577261, PITCH: 0.403249, YAW: 1.130176
TIMESTAMP: 6.600000, X: 6.675492, Y: 9.553317, Z: -2.682259, PITCH: 0.403958, YAW: 1.142938
