TIMESTAMP: 5.100000, X: 6.261160, Y: 4.514073, Z: 3.881865, PITCH: 0.103506, YAW: -2.581598
TIMESTAMP: 5.200000, X: 6.180481, Y: 4.607544, Z: 3.978841, PITCH: 0.114383, YAW: -2.578667
TIMESTAMP: 5.300000, X: 6.100910, Y: 4.701097, Z: 4.073738, PITCH: 0.125512, YAW: -2.574919
TIMESTAMP: 5.400000, X: 6.022603, Y: 4.794699, Z: 4.166098, PITCH: 0.136733, YAW: -2.570575
TIMESTAMP: 5.500000, X: 5.945700, Y: 4.888321, Z: 4.255463, PITCH: 0.147826, YAW: -2.566670
TIMESTAMP: 5.600000, X: 5.870326, Y: 4.981928, Z: 4.341380, PITCH: 0.159050, YAW: -2.563096
TIMESTAMP: 5.700000, X: 5.796593, Y: 5.075484, Z: 4.423408, PITCH: 0.170494, YAW: -2.559270
TIMESTAMP: 5.800000, X: 5.724593, Y: 5.168945, Z: 4.501114, PITCH: 0.181602, YAW: -2.555285
TIMESTAMP: 5.900000, X: 5.654406, Y: 5.262261, Z: 4.574082, PITCH: 0.191752, YAW: -2.551653
TIMESTAMP: 6.000000, X: 5.586095, Y: 5.355375, Z: 4.641912, PITCH: 0.201036, YAW: -2.548468
TIMESTAMP: 6.100000, X: 5.519707, Y: 5.448219, Z: 4.704222, PITCH: 0.210148, YAW: -2.545347
TIMESTAMP: 6.200000, X: 5.455277, Y: 5.540718, Z: 4.760653, PITCH: 0.219561, YAW: -2.542080
TIMESTAMP: 6.300000, X: 5.392827, Y: 5.632788, Z: 4.810866, PITCH: 0.229135, YAW: -2.538803
TIMESTAMP: 6.400000, X: 5.332368, Y: 5.724334, Z: 4.854550, PITCH: 0.238521, YAW: -2.535574
TIMESTAMP: 6.500000, X: 5.273901, Y: 5.815255, Z: 4.891415, PITCH: 0.247709, YAW: -2.532300
TIMESTAMP: 6.600000, X: 5.217421, Y: 5.905440, Z: 4.921202, PITCH: 0.257079, YAW: -2.529039
TIMESTAMP: 6.700000, X: 5.162919, Y: 5.994773, Z: 4.943678, PITCH: 0.266763, YAW: -2.525902
TIMESTAMP: 6.800000, X: 5.110379, Y: 6.083131, Z: 4.958638, PITCH: 0.276193, YAW: -2.522682
TIMESTAMP: 6.900000, X: 5.059788, Y: 6.170387, Z: 4.965907, PITCH: 0.285067, YAW: -2.519214
TIMESTAMP: 7.000000, X: 5.011134, Y: 6.256409, Z: 4.965339, PITCH: 0.294370, YAW: -2.515927
TIMESTAMP: 7.100000, X: 4.964406, Y: 6.341066, Z: 4.956818, PITCH: 0.304694, YAW: -2.513117
TIMESTAMP: 7.200000, X: 4.919601, Y: 6.424223, Z: 4.940259, PITCH: 0.314241, YAW: -2.509949
TIMESTAMP: 7.300000, X: 4.876723, Y: 6.505747, Z: 4.915606, PITCH: 0.321901, YAW: -2.505894
TIMESTAMP: 7.400000, X: 4.835785, Y: 6.585508, Z: 4.882833, PITCH: 0.331013, YAW: -2.502519
TIMESTAMP: 7.500000, X: 4.796809, Y: 6.663378, Z: 4.841945, PITCH: 0.343395, YAW: -2.500688
TIMESTAMP: 7.600000, X: 4.759831, Y: 6.739236, Z: 4.792976, PITCH: 0.351317, YAW: -2.496753
TIMESTAMP: 7.700000, X: 4.724898, Y: 6.812964, Z: 4.735988, PITCH: 0.346407, YAW: -2.486752
TIMESTAMP: 7.800000, X: 4.692071, Y: 6.884455, Z: 4.671075, PITCH: 0.333255, YAW: -2.472852
TIMESTAMP: 7.900000, X: 4.661424, Y: 6.953607, Z: 4.598357, PITCH: 0.322048, YAW: -2.459870
TIMESTAMP: 8.000000, X: 4.633044, Y: 7.020328, Z: 4.517984, PITCH: 0.314528, YAW: -2.448637
TIMESTAMP: 8.100000, X: 4.607030, Y: 7.084536, Z: 4.430132, PITCH: 0.306259, YAW: -2.437053
TIMESTAMP: 8.200000, X: 4.583492, Y: 7.146160, Z: 4.335004, PITCH: 0.296090, YAW: -2.424559
TIMESTAMP: 8.300000, X: 4.562552, Y: 7.205138, Z: 4.232831, PITCH: 0.286285, YAW: -2.412232
TIMESTAMP: 8.400000, X: 4.544338, Y: 7.261419, Z: 4.123867, PITCH: 0.277503, YAW: -2.400410
TIMESTAMP: 8.500000, X: 4.528988, Y: 7.314963, Z: 4.008393, PITCH: 0.268541, YAW: -2.388512
TIMESTAMP: 8.600000, X: 4.516642, Y: 7.365741, Z: 3.886710, PITCH: 0.258998, YAW: -2.376302
TIMESTAMP: 8.700000, X: 4.507447, Y: 7.413733, Z: 3.759145, PITCH: 0.249534, YAW: -2.364108
TIMESTAMP: 8.800000, X: 4.501549, Y: 7.458931, Z: 3.626043, PITCH: 0.240444, YAW: -2.352165
TIMESTAMP: 8.900000, X: 4.499093, Y: 7.501334, Z: 3.487771, PITCH: 0.231346, YAW: -2.340256
TIMESTAMP: 9.000000, X: 4.500221, Y: 7.540952, Z: 3.344713, PITCH: 0.221926, YAW: -2.328056
TIMESTAMP: 9.100000, X: 4.505072, Y: 7.577800, Z: 3.197270, PITCH: 0.212436, YAW: -2.315740
